[2026-03-27 00:59:19,774: INFO: main: Welcome to our custom logging]
[2026-03-27 00:59:41,798: INFO: main: Welcome to our custom logging]
[2026-03-27 01:00:21,057: INFO: main: Welcome to our custom logging]
[2026-03-28 22:41:35,642: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 22:41:35,654: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 22:42:41,533: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 22:44:07,631: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 22:44:07,634: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 22:44:31,001: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 22:44:31,005: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 22:44:31,011: INFO: common: created directory at: artifacts]
[2026-03-28 22:44:31,013: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-28 22:44:37,360: INFO: 2293009439: File is downloaded]
[2026-03-28 23:27:34,109: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2026-03-28 23:27:34,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 23:27:34,119: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 23:27:34,120: INFO: common: created directory at: artifacts]
[2026-03-28 23:27:34,121: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-28 23:27:34,121: INFO: data_ingestion: File already exits]
[2026-03-28 23:27:34,346: INFO: main: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<

x==========x]
[2026-03-28 23:27:52,816: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<]
[2026-03-28 23:27:52,818: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-28 23:27:52,819: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-28 23:27:52,820: INFO: common: created directory at: artifacts]
[2026-03-28 23:27:52,820: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-28 23:28:16,721: INFO: data_ingestion: File is downloaded]
[2026-03-28 23:28:16,852: INFO: main: >>>>>>> Stage Data Ingestion Stage completed <<<<<<<

x==========x]
